"Auction";"From";"To";"Car";"Motorcycle"
;"DETROIT - Michigan - IAAI";"Chicago";$325.00;$275.00
;"DOTHAN - Alabama - IAAI";"Savannah";$350.00;$300.00
;"DUNDALK - Maryland - IAAI";"Norfolk";$275.00;
;"EAST BAY - California - IAAI";"Los Angeles";$375.00;$250.00
;"EL PASO - Texas - IAAI";"Houston";$425.00;
;"ERIE - Pennsylvania - IAAI";"New York";$500.00;$425.00
;"EUGENE - Oregon - IAAI";"Seattle";$275.00;
;"FARGO - North Dakota - IAAI";"Chicago";$550.00;$500.00
;"FAYETTEVILLE - Arkansas - IAAI";"Houston";$450.00;
;"FLINT - Michigan - IAAI";"Chicago";$375.00;$275.00
;"FONTANA - California - IAAI";"Los Angeles";$150.00;$150.00
;"FORT MYERS - Florida - IAAI";"Miami";$200.00;
;"FORT PIERCE - Florida - IAAI";"Miami";$180.00;$180.00
;"FREMONT - California - IAAI";"Los Angeles";;$250.00
;"FRESNO - California - IAAI";"Los Angeles";$300.00;$150.00
;"Fredericksburg-South - Virginia - IAAI";"Norfolk";$250.00;
;"GRAND RAPIDS - Michigan - IAAI";"Chicago";$325.00;$250.00
;"GREENSBORO - North Carolina - IAAI";"Norfolk";$275.00;$225.00
;"GREENVILLE - South Carolina - IAAI";"Savannah";$250.00;$225.00
;"GRENADA - Mississippi - IAAI";"Houston";$425.00;
;"GULF COAST - Mississippi - IAAI";"Houston";$450.00;
;"HARTFORD - Connecticut - IAAI";"New York";$250.00;$175.00
;"HARTFORD-SOUTH - Connecticut - IAAI";"New York";$250.00;$175.00
;"HIGH DESERT - California - IAAI";"Los Angeles";$200.00;$200.00
;"HOUSTON - Texas - IAAI";"Houston";$180.00;
;"HOUSTON-NORTH - Texas - IAAI";"Houston";$180.00;
;"HUNTSVILLE - Alabama - IAAI";"Savannah";$350.00;$300.00
;"IAA CAT HOUSTON - Texas - IAAI";"Houston";$200.00;
;"IAA Dallas/Ft Worth - Texas - IAAI";"Houston";$225.00;
;"INDIANAPOLIS - Indiana - IAAI";"Chicago";$200.00;$200.00
;"JACKSON - Mississippi - IAAI";"Houston";$400.00;
;"JACKSONVILLE - Florida - IAAI";"Savannah";$150.00;
;"KANSAS CITY - Kansas - IAAI";"Chicago";$350.00;$275.00
;"KNOXVILLE - Tennessee - IAAI";"Savannah";$350.00;$300.00
;"LAFAYETTE - Louisiana - IAAI";"Houston";$275.00;
;"LAS VEGAS - Nevada - IAAI";"Los Angeles";$300.00;$250.00
;"LAUREL - Maryland - IAAI";"Norfolk";$275.00;$225.00
;"LINCOLN - Illinois - IAAI";"Chicago";$250.00;$250.00
;"LITTLE ROCK - Arkansas - IAAI";"Houston";$400.00;
;"LONG ISLAND - New York - IAAI";"New York";$225.00;$175.00
;"LONGVIEW - Texas - IAAI";"Houston";$250.00;
;"LOS ANGELES - California - IAAI";"Los Angeles";$100.00;$100.00
;"LOUISVILLE - Kentucky - IAAI";"Chicago";$375.00;$275.00
;"LOUISVILLE NORTH - Kentucky - IAAI";"Chicago";$375.00;$275.00
;"LUBBOCK - Texas - IAAI";"Houston";$425.00;
;"MACON - Georgia - IAAI";"Savannah";$225.00;$175.00
;"MANCHESTER - New Hampshire - IAAI";"New York";$400.00;$300.00
;"MCALLEN - Texas - IAAI";"Houston";$350.00;
;"MEMPHIS - Tennessee - IAAI";"Savannah";$375.00;$325.00
;"METRO DC - Maryland - IAAI";"Norfolk";$275.00;$225.00
;"MIAMI - Florida - IAAI";"Miami";$100.00;$100.00
;"MIAMI-NORTH - Florida - IAAI";"Miami";$125.00;$125.00
;"MILWAUKEE - Wisconsin - IAAI";"Chicago";$175.00;$175.00
;"MINNEAPOLIS/ST. PAUL - Minnesota - IAAI";"Chicago";$400.00;$350.00
;"MISSOULA - Montana - IAAI";"Seattle";$600.00;
;"NASHVILLE - Tennessee - IAAI";"Savannah";$350.00;
;"NEW CASTLE - Delaware - IAAI";"New York";$300.00;$225.00
;"NEW ORLEANS EAST - Louisiana - IAAI";"Houston";$375.00;
;"NEWBURGH - New York - IAAI";"New York";$250.00;$175.00
;"NORTH HOLLYWOOD - California - IAAI";"Los Angeles";$150.00;$150.00
;"NORTHERN NEW JERSEY - New Jersey - IAAI";"New York";$150.00;$100.00
;"NORTHERN VIRGINIA - Virginia - IAAI";"Norfolk";$250.00;$200.00
;"New Orleans and Louisiana Flood - Louisiana - IAAI";"Houston";$375.00;
;"OKLAHOMA CITY - Oklahoma - IAAI";"Houston";$400.00;
;"OMAHA - Nebraska - IAAI";"Chicago";$400.00;$300.00
;"ORLANDO - Florida - IAAI";"Miami";$225.00;
;"ORLANDO-NORTH - Florida - IAAI";"Miami";$225.00;$225.00
;"PADUCAH - Kentucky - IAAI";"Chicago";$425.00;$375.00
;"PENSACOLA - Florida - IAAI";"Miami";$375.00;$350.00
;"PERMIAN BASIN - Texas - IAAI";"Houston";$425.00;
;"PHILADELPHIA - Pennsylvania - IAAI";"New York";$250.00;$175.00
;"PHOENIX - Arizona - IAAI";"Los Angeles";$300.00;$200.00
;"PITTSBURGH - Pennsylvania - IAAI";"New York";$450.00;$350.00
;"PITTSBURGH-NORTH - Pennsylvania - IAAI";"New York";$450.00;$350.00
;"PORTAGE - Wisconsin - IAAI";"Chicago";$250.00;$250.00
;"PORTLAND - GORHAM - Maine - IAAI";"New York";$450.00;$350.00
;"PORTLAND - Oregon - IAAI";"Seattle";$200.00;
;"PROVIDENCE - Rhode Island - IAAI";"New York";$350.00;$275.00
;"PULASKI - Virginia - IAAI";"Norfolk";$375.00;$325.00
;"Portland West - Oregon - IAAI";"Seattle";$250.00;
;"RALEIGH - North Carolina - IAAI";"Norfolk";$275.00;
;"RENO - Nevada - IAAI";"Los Angeles";$450.00;$400.00
;"RICHMOND - Virginia - IAAI";"Norfolk";$200.00;$200.00
;"ROCHESTER - New York - IAAI";"New York";$450.00;$350.00
;"ROSEDALE - Maryland - IAAI";"Norfolk";$325.00;$275.00
;"SACRAMENTO - California - IAAI";"Los Angeles";$375.00;$250.00
;"SALT LAKE CITY - Utah - IAAI";"Los Angeles";$550.00;$500.00
;"SAN ANTONIO - Texas - IAAI";"Houston";$275.00;
;"SAN ANTONIO-SOUTH - Texas - IAAI";"Houston";$275.00;
;"SAN DIEGO - California - IAAI";"Los Angeles";$175.00;$150.00
;"SAVANNAH - Georgia - IAAI";"Savannah";$100.00;$100.00
;"SCRANTON - Pennsylvania - IAAI";"New York";$250.00;$200.00
;"SEATTLE - Washington - IAAI";"Seattle";$100.00;
;"SHADY SPRING - West Virginia - IAAI";"Norfolk";$575.00;
;"SHREVEPORT - Louisiana - IAAI";"Houston";$290.00;
;"SIOUX FALLS - South Dakota - IAAI";"Chicago";$550.00;$500.00
;"SOUTH BEND - Indiana - IAAI";"Chicago";$200.00;$200.00
;"SOUTHERN NEW JERSEY - New Jersey - IAAI";"New York";$175.00;$150.00
;"SPOKANE - Washington - IAAI";"Seattle";$350.00;
;"SPRINGFIELD - Missouri - IAAI";"Chicago";$375.00;$275.00
;"ST. LOUIS - Illinois - IAAI";"Chicago";$250.00;$200.00
;"SYRACUSE - New York - IAAI";"New York";$350.00;$275.00
;"Suffolk - Virginia - IAAI";"Norfolk";$150.00;$150.00
;"TAMPA - Florida - IAAI";"Miami";$200.00;$200.00
;"TAUNTON - Massachusetts - IAAI";"New York";$350.00;$275.00
;"TIDEWATER - Virginia - IAAI";"Norfolk";$150.00;$150.00
;"TIFTON - Georgia - IAAI";"Savannah";$250.00;$200.00
;"TUCSON - Arizona - IAAI";"Los Angeles";$350.00;$300.00
;"TULSA - Oklahoma - IAAI";"Houston";$450.00;
;"Tampa North - Florida - IAAI";"Miami";$225.00;$225.00
;"WESTERN COLORADO - Colorado - IAAI";"Los Angeles";$650.00;
;"WICHITA - Kansas - IAAI";"Houston";$550.00;
;"WILMINGTON - North Carolina - IAAI";"Norfolk";$350.00;$275.00
;"YORK SPRINGS - Pennsylvania - IAAI";"New York";$300.00;$250.00
"KENBEN INDUSTRIES LTD";"IMPOUND LOT - BROOKLYN, NY - New York - KENBEN INDUSTRIES LTD";"New York";$750.00;
"Manheim";"ALBANY - New York - Manheim";"New York";$275.00;$225.00
;"ARENA ILLINOIS - Illinois - Manheim";"Chicago";$100.00;$100.00
;"ATLANTA - Georgia - Manheim";"Savannah";$225.00;$175.00
;"BALTIMORE-WASHINGTON - Maryland - Manheim";"Norfolk";$275.00;$225.00
;"BIRMINGHAM - Alabama - Manheim";"Savannah";$350.00;$275.00
;"CALIFORNIA - California - Manheim";"Los Angeles";$150.00;$150.00
;"CENTRAL CALIFORNIA - California - Manheim";"Los Angeles";$300.00;$250.00
;"CENTRAL FLORIDA - Florida - Manheim";"Miami";$225.00;$200.00
;"CHARLOTTE - North Carolina - Manheim";"Norfolk";$275.00;$225.00
;"CHICAGO - Illinois - Manheim";"Chicago";$100.00;$100.00
;"CINCINNATI - Ohio - Manheim";"Chicago";$400.00;$275.00
;"Clark County Auto Auction - Indiana - Manheim";"Chicago";$375.00;$275.00
;"DALLAS - Texas - Manheim";"Houston";$225.00;
;"DALLAS FORT WORTH - Texas - Manheim";"Houston";$225.00;
;"DARLINGTON - South Carolina - Manheim";"Savannah";$275.00;$200.00
;"DAYTONA BEACH - Florida - Manheim";"Miami";$275.00;$250.00
;"DENVER - Colorado - Manheim";"Houston";$550.00;
;"DETROIT - Michigan - Manheim";"Chicago";$325.00;$275.00
;"EL PASO - Texas - Manheim";"Houston";$425.00;
;"FORT LAUDERDALE - Florida - Manheim";"Miami";$125.00;$125.00
;"FORT MYERS - Florida - Manheim";"Miami";$200.00;$200.00
;"FREDERICKSBURG - Virginia - Manheim";"Norfolk";$250.00;$200.00
;"GEORGIA - Georgia - Manheim";"Savannah";$225.00;$175.00
;"GREER - South Carolina - Manheim";"Savannah";$275.00;$200.00
;"HARRISONBURG - Virginia - Manheim";"Norfolk";$275.00;$250.00
;"HOUSTON - Texas - Manheim";"Houston";$180.00;
;"INDIANAPOLIS - Indiana - Manheim";"Chicago";$200.00;$200.00
;"JACKSONVILLE - Florida - Manheim";"Savannah";$175.00;$150.00
;"KANSAS CITY - Missouri - Manheim";"Chicago";$350.00;$275.00
;"KEYSTONE PENNSYLVANIA - Pennsylvania - Manheim";"New York";$275.00;$225.00
;"LAFAYETTE - Louisiana - Manheim";"Houston";$275.00;
;"LAKELAND - Florida - Manheim";"Miami";;$225.00
;"LOUISVILLE - Indiana - Manheim";"Chicago";$375.00;$275.00
;"METRO ATLANTA - Georgia - Manheim";"Savannah";$225.00;$175.00
;"MILWAUKEE - Wisconsin - Manheim";"Chicago";$175.00;$175.00
;"MINNEAPOLIS - Minnesota - Manheim";"Chicago";$400.00;$350.00
;"MISSISSIPPI - Mississippi - Manheim";"Houston";$400.00;
;"NASHVILLE - Tennessee - Manheim";"Savannah";$350.00;$275.00
;"NEVADA - Nevada - Manheim";"Los Angeles";$300.00;$250.00
;"NEW ENGLAND - Massachusetts - Manheim";"New York";$350.00;$275.00
;"NEW JERSEY - NewJersey- Manheim";"New York";$150.00;$100.00
;"NEW MEXICO - New Mexico - Manheim";"Houston";$550.00;
;"NEW ORLEANS - Louisiana - Manheim";"Houston";$375.00;
;"NEW YORK - New York - Manheim";"New York";$250.00;$175.00
;"NORTH CAROLINA - North Carolina - Manheim";"Norfolk";$275.00;
;"NORTHSTAR MINNESOTA - Minnesota - Manheim";"Chicago";$300.00;$250.00
;"NY METRO SKYLINE - New Jersey - Manheim";"New York";$150.00;$100.00
;"OHIO - Ohio - Manheim";"Chicago";$400.00;$275.00
;"OMAHA - Nebraska - Manheim";"Chicago";$400.00;$300.00
;"ORLANDO - Florida - Manheim";"Miami";$225.00;$225.00
;"PALM BEACH - Florida - Manheim";"Miami";$160.00;$160.00
;"PENNSYLVANIA - Pennsylvania - Manheim";"New York";$250.00;$175.00
;"PENSACOLA - Florida - Manheim";"Miami";$375.00;$350.00
;"PHILADELPHIA - Pennsylvania - Manheim";"New York";$250.00;$175.00
;"PHOENIX - Arizona - Manheim";"Los Angeles";$300.00;$200.00
;"PITTSBURGH - Pennsylvania - Manheim";"New York";$450.00;$350.00
;"PORTLAND - Oregon - Manheim";"Seattle";$200.00;
;"RIVERSIDE - California - Manheim";"Los Angeles";$150.00;$150.00
;"SAN ANTONIO-Texas- Manheim";"Houston";$275.00;
;"SAN DIEGO-California- Manheim";"Los Angeles";$175.00;$150.00
;"SAN FRANCISCO BAY - California - Manheim";"Los Angeles";$375.00;$250.00
;"SEATTLE - Washington - Manheim";"Seattle";$100.00;
;"SOUTHERN CALIFORNIA - California - Manheim";"Los Angeles";$150.00;$150.00
;"SPRINGFIELD - Missouri - Manheim";"Chicago";$375.00;$275.00
;"ST LOUIS - Missouri - Manheim";"Chicago";$250.00;$200.00
;"ST PETE - Florida - Manheim";"Miami";$200.00;$200.00
;"STATESVILLE - North Carolina - Manheim";"Norfolk";$275.00;
;"TAMPA - Florida - Manheim";"Miami";;$200.00
;"TEXAS HOBBY-Texas - Manheim";"Houston";$100.00;
;"TUCSON - Arizona - Manheim";"Los Angeles";$350.00;$250.00
;"TULSA - Oklahoma - Manheim";"Houston";$450.00;
;"UTAH - Utah - Manheim";"Los Angeles";$550.00;$500.00
;"myCentralAuction - Georgia - Manheim";"Savannah";$225.00;$175.00
"Metro Salvage Pool";"Metro Salvage Pool - Iowa - Metro Salvage Pool";"Chicago";$300.00;$225.00
"OVE";"Adesa Brashers auto auction - California - OVE";"Los Angeles";$300.00;
;"CLARK COUNTY AUTO AUCTION - Indiana - OVE";"Chicago";$375.00;
"Ritchie Bros Auctioneers Inc";"Ritchie Bros Orlando - Florida - Ritchie Bros Auctioneers Inc";"Miami";;
"SALVAGENOW";"Salvage Gardena - California - SALVAGENOW";"Los Angeles";$100.00;$100.00
;"Salvagenow Pennsylvania - Pennsylvania - SALVAGENOW";"New York";$250.00;
"Total Resource Auctions";"ALBANY - New York - Total Resource Auctions";"New York";$275.00;$225.00
;"ARENA - Illinois - Total Resource Auctions";"Chicago";$100.00;$100.00
;"BALTIMORE-WASHINGTON - Maryland - Total Resource Auctions";"Norfolk";$275.00;$225.00
;"BIRMINGHAM - Alabama - Total Resource Auctions";"Savannah";$350.00;$275.00
;"CALIFORNIA - California - Total Resource Auctions";"Los Angeles";$100.00;
;"CENTRAL CALIFORNIA - California - Total Resource Auctions";"Los Angeles";$300.00;$150.00
;"CENTRAL FLORIDA - Florida - Total Resource Auctions";"Miami";$250.00;$250.00
;"CENTRAL PENN - Pennsylvania - Total Resource Auctions";"New York";$225.00;
;"CINCINNATI - Ohio - Total Resource Auctions";"Chicago";$400.00;$275.00
;"DALLAS FORT WORTH - Texas - Total Resource Auctions";"Houston";$225.00;
;"DALLAS METRO - Texas - Total Resource Auctions";"Houston";$225.00;
;"DARLINGTON - South Carolina - Total Resource Auctions";"Savannah";$275.00;
;"DAYTON BEACH - Florida - Total Resource Auctions";"Miami";$275.00;$250.00
;"DENVER - Colorado - Total Resource Auctions";"Houston";$550.00;
;"DES MOINES - Iowa - Total Resource Auctions";"Chicago";$300.00;$225.00
;"DETROIT EAST - Michigan - Total Resource Auctions";"Chicago";$325.00;$275.00
;"EL PASO - Texas - Total Resource Auctions";"Houston";$425.00;
;"FLINT - Michigan - Total Resource Auctions";"Chicago";$375.00;$275.00
;"FREDERICKSBURG - Virginia - Total Resource Auctions";"Norfolk";$250.00;$250.00
;"FT. LAUDERDALE - Florida - Total Resource Auctions";"Miami";$125.00;$125.00
;"FT. MYERS - Florida - Total Resource Auctions";"Miami";$200.00;$200.00
;"GEORGIA - Georgia - Total Resource Auctions";"Savannah";$225.00;
;"HARRISONBURG - Virginia - Total Resource Auctions";"Norfolk";$275.00;$250.00
;"HOUSTON NORTH - Texas - Total Resource Auctions";"Houston";$180.00;
;"HOUSTON SOUTH - Texas - Total Resource Auctions";"Houston";$180.00;
;"INDIANAPOLIS - Indiana - Total Resource Auctions";"Chicago";$200.00;$200.00
;"KANSAS CITY - Missouri - Total Resource Auctions";"Chicago";$350.00;$275.00
;"LAFAYETTE - Louisiana - Total Resource Auctions";"Houston";$275.00;
;"LITTLETON - Colorado - Total Resource Auctions";"Chicago";$500.00;
;"LOUISVILLE - Indiana - Total Resource Auctions";"Chicago";$375.00;$275.00
;"MANHEIM PHOENIX - Arizona - Total Resource Auctions";"Los Angeles";$275.00;$250.00
;"MILWAUKEE - Wisconsin - Total Resource Auctions";"Chicago";$175.00;$175.00
;"MINNEAPOLIS - Minnesota - Total Resource Auctions";"Chicago";$400.00;$350.00
;"MISSISSIPPI - Mississippi - Total Resource Auctions";"Houston";$400.00;
;"NASHVILLE - Tennessee - Total Resource Auctions";"Savannah";$350.00;
;"NEVADA - Nevada - Total Resource Auctions";"Los Angeles";$300.00;$250.00
;"NEW ENGLAND - Massachusetts - Total Resource Auctions";"New York";$350.00;$275.00
;"NEW JERSEY - New Jersey- Total Resource Auctions";"New York";$150.00;$100.00
;"NEW MEXICO - New Mexico - Total Resource Auctions";"Houston";$550.00;
;"NEW ORLEANS - Louisiana - Total Resource Auctions";"Houston";$375.00;
;"NEW YORK - New York - Total Resource Auctions";"New York";$250.00;$175.00
;"NORTH CAROLINA - North Carolina - Total Resource Auctions";"Norfolk";$275.00;
;"NORTHSTAR MINNESOTA - Minnesota - Total Resource Auctions";"Chicago";$300.00;$250.00
;"NY METRO SKYLINE - New Jersey - Total Resource Auctions";"New York";$150.00;$100.00
;"OHIO - Ohio - Total Resource Auctions";"Chicago";$400.00;$275.00
;"OMAHA - Nebraska - Total Resource Auctions";"Chicago";$400.00;$300.00
;"PENNSYLVANIA - Pennsylvania - Total Resource Auctions";"New York";$250.00;
;"PENSACOLA - Florida - Total Resource Auctions";"Miami";$375.00;$350.00
;"PHILADELPHIA - Pennsylvania - Total Resource Auctions";"New York";$250.00;$175.00
;"PHOENIX - Arizona - Total Resource Auctions";"Los Angeles";$300.00;$200.00
;"PORTLAND - Oregon - Total Resource Auctions";"Seattle";$200.00;
;"SAN ANTONIO - Texas - Total Resource Auctions";"Houston";$275.00;
;"SAN DIEGO - California - Total Resource Auctions";"Los Angeles";$175.00;$150.00
;"SAN FRANCISCO BAY - California - Total Resource Auctions";"Los Angeles";$375.00;$250.00
;"SEATTLE - Washington - Total Resource Auctions";"Seattle";$100.00;
;"SOUTHERN CALIFORNIA - California - Total Resource Auctions";"Los Angeles";$150.00;$150.00
;"SPRINGFIELD - Missouri - Total Resource Auctions";"Chicago";$375.00;$275.00
;"STATESVILLE - North Carolina - Total Resource Auctions";"Norfolk";$275.00;$275.00
;"TAMPA - Florida - Total Resource Auctions";"Miami";$200.00;$200.00
;"TUCSON - Arizona - Total Resource Auctions";"Los Angeles";$350.00;$300.00
;"TULSA - Oklahoma - Total Resource Auctions";"Houston";$450.00;
;"UTAH - Utah - Total Resource Auctions";"Los Angeles";$550.00;$500.00
